activity_id,start_time_local,activity_type,duration_seconds,distance_meters,calories,average_hr_bpm,max_hr_bpm,elevation_gain_m,training_load,aerobic_training_effect,anaerobic_training_effect
7423787241,2021-09-04 10:09:00,walking,545.24,905.63,77,114,145,6.62,5.76,0.5,0
7433030093,2021-09-05 11:08:02,walking,19043.97,4651.19,1130,88,125,41.51,2.4,0.2,0
7514562406,2021-09-19 08:04:06,treadmill_running,2789.59,4862.93,450,132,178,0,64.71,3,0.1
7515220056,2021-09-19 10:32:44,hiking,1703.48,1142.94,185,110,126,17.76,5.3,0.5,0
7519641475,2021-09-19 22:59:16,breathwork,938,0,0,60,86,0,0.05,0,0
7549225053,2021-09-25 05:34:01,hiking,16469.81,9434.7,1532,110,144,651.25,9.53,0.9,0
7551132248,2021-09-25 10:29:18,hiking,16932.8,10467.26,1521,110,152,21.87,12.21,1.2,0
7591014203,2021-10-02 13:59:42,hiking,11505.54,7113.15,1153,113,156,238.28,10.75,1,0
7596782246,2021-10-03 15:46:20,mountain_biking,4579.14,22806.53,360,97,133,157.19,3.69,0.3,0
7603412298,2021-10-04 21:15:06,treadmill_running,3304.26,4884.3,638,143,168,0,53.84,2.8,0
7608365308,2021-10-05 19:59:21,breathwork,938,0,0,70,99,0,0.08,0,0
7608464409,2021-10-05 20:17:39,breathwork,938,0,0,69,80,0,0,0,0
7613941466,2021-10-06 19:22:04,treadmill_running,2888.74,4432.38,464,134,160,0,26.33,2.1,0
7619587979,2021-10-07 19:32:34,treadmill_running,4408.84,6355.28,271,102,122,0,2.02,0.2,0
7635397498,2021-10-10 15:46:19,mountain_biking,4879.23,24779.77,937,151,210,145.47,148.22,3.8,2.1
7636211184,2021-10-10 18:29:19,treadmill_running,2695.83,3911.54,473,137,154,0,30.7,2.2,0
7638028203,2021-10-11 06:48:06,treadmill_running,812.47,1205.96,90,107,124,0,3.14,0.3,0
7666188783,2021-10-16 14:11:58,walking,2488.68,850.67,229,102,127,5.66,3.47,0.3,0
7669703205,2021-10-17 07:00:33,walking,2731.23,1664.61,216,95,119,18.15,3.11,0.3,0
7670306235,2021-10-17 10:25:26,breathwork,938,0,0,85,98,0,0.42,0,0
7672814283,2021-10-17 15:56:05,walking,2491.98,1097.86,190,93,162,9.95,6.28,0.6,0
7779551999,2021-11-07 06:43:56,hiking,5683.08,3888.28,457,97,166,129.77,17.87,1.7,0
7781786142,2021-11-07 13:27:40,walking,4161.83,1188.32,344,97,141,3.55,4.15,0.4,0
7782185382,2021-11-07 15:00:41,treadmill_running,2313,4399.62,359,125,157,0,20,2,0
7784191552,2021-11-07 21:40:57,breathwork,938,0,0,69,86,0,0,0,0
7785083282,2021-11-08 05:26:03,treadmill_running,1105.55,1716.69,101,99,112,0,2.36,0.2,0
7814024024,2021-11-13 19:35:18,treadmill_running,2212.91,3710.76,302,121,144,0,12.59,1.2,0
7814198152,2021-11-13 20:52:28,breathwork,938,0,0,82,105,0,0.45,0,0
7814232185,2021-11-13 21:09:23,breathwork,690.95,0,0,79,86,0,0.09,0,0
7815376393,2021-11-14 04:31:15,hiking,4963.43,3336.08,669,123,166,295.35,27.93,2.1,0.2
7815705543,2021-11-14 07:17:05,hiking,5722.17,3882.13,593,109,138,71.05,8.64,0.8,0
7851613554,2021-11-21 11:25:53,treadmill_running,2223.96,4161.97,320,124,152,0,18.37,1.8,0
7852382014,2021-11-21 13:41:46,walking,687.38,383,61,97,122,16.61,1.7,0.1,0
7852618753,2021-11-21 13:57:22,walking,1610.6,812.62,121,92,107,0,1.79,0.1,0
7855583345,2021-11-22 04:57:45,breathwork,938,0,0,60,90,0,0.02,0,0
7887167135,2021-11-28 16:39:35,breathwork,938,0,0,86,96,0,0.98,0.1,0
7893667119,2021-11-30 11:02:13,treadmill_running,928.11,1379.33,125,115,137,0,5.38,0.5,0
7911395848,2021-12-04 08:07:48,walking,1723.09,2707.82,216,120,138,8.4,6.92,0.6,0
7919816025,2021-12-05 20:26:37,treadmill_running,3111.36,5055.13,373,116,135,0,11.37,1.1,0
7951220362,2021-12-12 18:14:54,strength_training,2150.8,0,392,140,163,0,29.99,2.2,0
7952800884,2021-12-13 05:48:57,treadmill_running,1816.5,3087.04,226,116,130,0,7.51,0.7,0
7952866043,2021-12-13 06:42:09,breathwork,938,0,0,78,99,0,0.16,0,0
7960542938,2021-12-14 19:45:22,strength_training,2110.29,0,382,137,158,0,24.55,2.1,0
7967740221,2021-12-16 10:19:18,walking,8047.42,5028.57,765,105,138,29.36,6.26,0.6,0
7970280118,2021-12-16 22:32:43,treadmill_running,1186.5,1763.55,184,122,134,0,8.5,0.8,0
7971213866,2021-12-17 06:34:12,strength_training,2062.2,0,319,129,164,0,17.32,1.6,0.1
7980424398,2021-12-19 10:06:58,strength_training,2341.12,0,371,133,159,0,28.49,2.1,0.2
7993487049,2021-12-22 03:48:32,treadmill_running,3919.9,3310,302,96,124,0,6.57,0.6,0
8007523368,2021-12-25 14:12:48,walking,1392.47,928.22,136,107,128,3.37,3.02,0.3,0
8018597065,2021-12-27 21:30:08,treadmill_running,1827.07,2723.46,187,104,129,0,4.8,0.4,0
8023878186,2021-12-28 22:03:52,treadmill_running,2534.41,3711.71,345,120,144,0,12.07,1.2,0
8029267383,2021-12-29 23:46:38,treadmill_running,1963.29,3012.87,191,103,115,0,4.82,0.4,0
8040183784,2022-01-01 03:08:08,walking,2188.34,2224.98,199,116,137,4.97,3.2,0.3,0
8041995457,2022-01-01 13:48:42,walking,1565.59,2210.61,163,109,124,0,4.35,0.4,0
8048416211,2022-01-02 14:53:35,walking,1801.59,1566.43,159,102,121,17.18,2.69,0.2,0
8049950792,2022-01-02 19:06:05,treadmill_running,895.09,1389.53,139,121,148,0,9.84,0.9,0
8056117325,2022-01-03 21:12:11,treadmill_running,2670.33,4070.62,377,121,148,0,14.59,1.4,0
8057600586,2022-01-04 07:09:03,treadmill_running,1263.58,1917.58,125,103,111,0,3.24,0.3,0
8066867472,2022-01-05 19:31:18,treadmill_running,1545.11,2321.9,177,111,126,0,5.65,0.5,0
8068739253,2022-01-06 05:49:19,treadmill_running,1811.22,2727.02,188,107,121,0,5.45,0.5,0
8068765979,2022-01-06 06:20:57,breathwork,938,0,0,72,126,0,0.98,0.1,0
8072428881,2022-01-06 19:06:45,treadmill_running,1235.84,1883.86,138,109,126,0,4.34,0.4,0
8074345173,2022-01-07 05:23:18,treadmill_running,2085.86,3270.83,228,110,124,0,6.36,0.6,0
8078875842,2022-01-08 01:01:21,treadmill_running,1895.01,2591.35,197,107,118,0,5.28,0.5,0
8083894916,2022-01-08 21:20:14,treadmill_running,1216.68,1824.27,127,105,115,0,3.81,0.3,0
8088888804,2022-01-09 07:10:05,hiking,12236.56,5000.61,1202,110,156,315.83,8.89,0.8,0
8088894970,2022-01-09 11:12:20,hiking,7375.46,4095.06,771,114,151,4.27,15.03,1.5,0
8095583749,2022-01-10 21:22:02,treadmill_running,2103.05,3190.61,207,105,121,0,3.98,0.4,0
8099003368,2022-01-11 14:04:48,treadmill_running,3817.95,5350.59,437,116,136,0,12.08,1.2,0
8102717631,2022-01-12 04:55:23,treadmill_running,2304.64,3348.61,236,107,122,0,5.88,0.5,0
8111426610,2022-01-13 14:20:48,hiking,5831.19,2720.17,842,130,180,380.88,33.4,2.2,0.3
8111429747,2022-01-13 16:08:28,hiking,4174.97,2541.5,338,98,136,3.57,5.34,0.5,0
8118133939,2022-01-14 07:26:06,hiking,7933.77,5480.87,840,113,150,510.35,11.91,1.1,0
8124361400,2022-01-15 12:49:37,hiking,9248.52,5619.49,1167,125,164,667.84,30.51,2.2,0
8124364086,2022-01-15 16:34:48,hiking,5260.23,10177.07,582,113,143,19.5,14.57,1.4,0
8125799426,2022-01-16 05:58:15,hiking,8879.98,4432.86,1065,122,172,372.04,63.69,3,0
8131719140,2022-01-17 04:48:24,treadmill_running,2393.67,3851.11,231,104,116,0,6.22,0.6,0
8131744057,2022-01-17 05:29:04,breathwork,938,0,0,72,121,0,0.46,0,0
8137541754,2022-01-18 07:33:52,treadmill_running,634.92,976.85,71,107,119,0,2.54,0.2,0
8138510619,2022-01-18 11:53:42,treadmill_running,1219.95,1845.94,151,114,127,0,5.28,0.5,0
8139050722,2022-01-18 13:41:48,treadmill_running,615.1,761.33,70,107,123,0,2.54,0.2,0
8141849294,2022-01-18 21:26:07,treadmill_running,607.38,893.59,70,106,128,0,2.53,0.2,0
8147870622,2022-01-19 21:37:42,treadmill_running,1993.89,3592.37,250,123,238,0,10.71,1,0
8149616404,2022-01-20 08:12:26,treadmill_running,3893.87,5962.28,576,127,157,0,32.45,2.3,0
8154608993,2022-01-21 06:35:55,treadmill_running,1194.93,1961.92,109,99,107,0,2.31,0.2,0
8158548735,2022-01-21 22:24:42,treadmill_running,1640.47,2605.81,191,112,125,0,6.14,0.6,0
8165939855,2022-01-23 08:11:32,treadmill_running,4620.55,7368.6,551,118,150,0,16.15,1.6,0
8171890054,2022-01-24 05:02:42,treadmill_running,2455.6,3959.81,211,99,124,0,4.11,0.4,0
8171914819,2022-01-24 05:46:04,breathwork,938,0,0,68,115,0,0.37,0,0
8181458928,2022-01-25 19:23:23,treadmill_running,2420.46,3980.32,259,111,123,0,7.62,0.7,0
8187313377,2022-01-26 19:04:31,treadmill_running,3301.35,5283.97,388,118,146,0,11.92,1.1,0
8191009073,2022-01-27 13:22:13,treadmill_running,2703.31,4335.23,235,102,126,0,5.22,0.5,0
8193356608,2022-01-27 21:16:32,treadmill_running,909.83,1379.21,104,110,128,0,3.84,0.3,0
8194693666,2022-01-28 05:21:54,treadmill_running,904.73,1208.76,75,96,121,0,1.99,0.2,0
8194717678,2022-01-28 05:37:28,breathwork,938,0,0,73,116,0,0.93,0,0
8198107186,2022-01-28 19:16:26,treadmill_running,1502.94,2379.26,139,101,116,0,3.51,0.3,0
8200637359,2022-01-29 10:38:51,treadmill_running,0.91,1.55,0,106,106,0,,0,0
8201796590,2022-01-29 13:16:59,treadmill_running,1434.43,1947.57,126,99,116,0,3.31,0.3,0
8205771646,2022-01-30 06:45:59,treadmill_running,3324.64,5364.81,278,100,114,0,3.24,0.3,0
